analysis,model,fold,n,r2_coefficient_of_determination,pearson_r,rmse_ug_m3,mae_ug_m3,mean_residual_pred_minus_actual_ug_m3,n_training_groups,n_validation_groups
primary_grouped_cv,random_forest,0,29926,0.5462744324010802,0.7398848291499096,6.316035023992577,3.481521194532543,0.2749988077615595,1368,343
primary_grouped_cv,random_forest,1,29924,0.628758872646203,0.793112735974788,5.75219825430126,3.45203477336602,0.06597165774799678,1369,342
primary_grouped_cv,random_forest,2,29923,0.6473709851448937,0.8055074568404099,5.939212378638874,3.378269330896005,0.1461459860222463,1369,342
primary_grouped_cv,random_forest,3,29922,0.4533325949542434,0.6747488319514702,7.225799899838752,3.3101087366759105,0.2445425219934309,1369,342
primary_grouped_cv,random_forest,4,29926,0.6288572519446534,0.7941044784731349,5.717288743903916,3.448326874323717,0.30083048469987583,1369,342
