analysis,stratum_type,stratum,n_pairs,n_sites,observed_mean_ug_m3,observed_median_ug_m3,cmaq_total_mean_ug_m3,cmaq_total_median_ug_m3,cmaq_fire_mean_ug_m3,cmaq_nofire_mean_ug_m3,pearson_r,r_squared,mean_bias_ug_m3,median_error_ug_m3,mae_ug_m3,rmse_ug_m3,nmb_percent,nme_percent,overestimated_percent,underestimated_percent,exact_match_percent,error_p05_ug_m3,error_p95_ug_m3
primary_qc,year,All years,187051,304,10.687006124319037,9.25,9.287755017935098,6.734855264747814,2.526625257107664,6.761129760827434,0.502342728261343,0.2523482166370495,-1.399251106383938,-1.805249296659131,5.160789848935849,9.955864680527464,-13.093013048807403,48.29032367813571,32.958391027046105,67.04160897295391,0.0,-11.265877238420781,9.155400741873736
primary_qc,year,2008,10140,164,15.050473865877711,12.3,17.730470077580435,13.31637644911713,7.319724505485352,10.41074557209508,0.7106176848904465,0.5049774940790579,2.6799962117027207,0.5836958006121282,7.818838690795861,13.174876689637015,17.806723134337865,51.95078082240756,53.91518737672584,46.08481262327416,0.0,-11.577504474378589,22.095872311526772
primary_qc,year,2009,12392,189,10.9235135232408,9.7,9.836934938797246,7.981260581175246,1.0127922678038623,8.824142670993382,0.5250051704469791,0.2756304289960616,-1.0865785844435556,-1.0911452443712448,4.809442111490526,7.042430022140166,-9.9471528289113,44.02834400541535,40.235635894125245,59.764364105874755,0.0,-11.303611566881033,9.125117330415609
primary_qc,year,2010,15125,190,10.417820076429752,9.2,10.012791080436545,7.8611249505250385,0.4162725618747363,9.596518518561805,0.4457924091539062,0.19873087205924372,-0.4050289959932097,-0.8023950247787512,5.0644235638698705,7.378164191929813,-3.8878478704924557,48.613083415868296,43.867768595041326,56.132231404958674,0.0,-10.888066400145641,10.840814057805492
primary_qc,year,2011,16360,195,11.506321327017114,10.0,6.939189048392057,5.4779012852715,0.6680602034605367,6.271128844931523,0.5869263685572941,0.3444825621078526,-4.567132278625056,-3.7242448878003964,5.5024878289214145,7.5843200782841445,-39.692375597936085,47.82143373661435,16.778728606356967,83.22127139364304,0.0,-14.853524022817433,3.1723178734847597
primary_qc,year,2012,17977,210,9.837162639984426,8.9167,6.728941282922463,5.365054948923331,0.8986107678062555,5.830330515116207,0.5213983916169034,0.27185628278069374,-3.1082213570619626,-2.6896601285779536,4.523278031047943,6.335362069499433,-31.596726320536707,45.98153142922017,23.079490460032265,76.92050953996774,0.0,-11.548094969445632,4.4918919609664885
primary_qc,year,2013,19015,212,9.811253273941626,8.75,6.2714815917415185,4.889127273549731,1.416643219297212,4.8548383724443065,0.4536536017870323,0.20580159041434726,-3.5397716822001066,-3.081670396065347,4.981059411070382,7.213795860106558,-36.078690289258226,50.7688393316674,19.768603733894295,80.2313962661057,0.0,-12.667570238831345,3.8375871638306602
primary_qc,year,2014,17098,191,9.636788394607555,8.5,7.327589785947859,6.001735733056341,1.3485930690474415,5.978996716900419,0.3808930177004096,0.14507949093292455,-2.3091986086596967,-2.091295281383307,4.333562723983592,8.460384894760935,-23.962325560161226,44.968951755841374,27.359925137442975,72.64007486255703,0.0,-10.906462272576174,4.41925862285007
primary_qc,year,2015,18580,190,9.422138302045209,8.3,7.434575820514935,5.85194069874493,1.61257818074941,5.821997639765525,0.5706267495491583,0.32561488730103777,-1.9875624815302748,-1.872902494645655,4.064421431409781,6.453258345298299,-21.09460101109794,43.13693241509245,28.880516684607105,71.1194833153929,0.0,-9.847573956666258,5.395593226079861
primary_qc,year,2016,19711,192,9.43661878352189,8.6,7.788283788515299,6.0163384322598015,2.1632406308014724,5.625043157713826,0.310817150038574,0.09660730075810144,-1.6483349950065933,-1.9484452630209632,4.439277632951112,9.850553652817256,-17.467432274416932,47.043095994329285,28.831616863680175,71.16838313631982,0.0,-9.821029510401459,5.887336801597753
