analysis,stratum_type,stratum,n_pairs,n_sites,observed_mean_ug_m3,observed_median_ug_m3,cmaq_total_mean_ug_m3,cmaq_total_median_ug_m3,cmaq_fire_mean_ug_m3,cmaq_nofire_mean_ug_m3,pearson_r,r_squared,mean_bias_ug_m3,median_error_ug_m3,mae_ug_m3,rmse_ug_m3,nmb_percent,nme_percent,overestimated_percent,underestimated_percent,exact_match_percent,error_p05_ug_m3,error_p95_ug_m3
primary_qc,case_study_fire_window,Klamath,958,21,18.83605313152401,9.85415,27.39861306669947,12.109919851395093,23.319756151443446,4.0788569152560195,0.814378470681912,0.6632122935102098,8.562559935175459,1.7640538134245651,12.67250440562218,23.33182968568543,45.4583551840017,67.27791813463024,60.96033402922756,39.03966597077244,0.0,-7.724747114844427,56.459498507395935
primary_qc,case_study_fire_window,Rim,3611,77,8.258574362780394,7.087,7.329713754445903,5.115247031539673,2.227428032593688,5.102285721852213,0.6451715920021155,0.41624638312654416,-0.9288606083344914,-1.3019769663467808,3.8756298888365635,6.57083173828186,-11.247227033768262,46.928558351465455,35.474937690390476,64.52506230960952,0.0,-8.441502132022034,7.530032236840391
raw_extreme_sensitivity,case_study_fire_window,Klamath,958,21,18.83605313152401,9.85415,27.39861306669947,12.109919851395093,23.319756151443446,4.0788569152560195,0.814378470681912,0.6632122935102098,8.562559935175459,1.7640538134245651,12.67250440562218,23.33182968568543,45.4583551840017,67.27791813463024,60.96033402922756,39.03966597077244,0.0,-7.724747114844427,56.459498507395935
raw_extreme_sensitivity,case_study_fire_window,Rim,3611,77,8.258574362780394,7.087,7.329713754445903,5.115247031539673,2.227428032593688,5.102285721852213,0.6451715920021155,0.41624638312654416,-0.9288606083344914,-1.3019769663467808,3.8756298888365635,6.57083173828186,-11.247227033768262,46.928558351465455,35.474937690390476,64.52506230960952,0.0,-8.441502132022034,7.530032236840391
